Station ID;Navn;Adresse;Latitude;Longitude;Plasser;
1816;Hansaparken;Kalfarveien 80;60.38604412210008;5.349253890141261;19;
1049;Møllestranden;Møllendalsveien 60;60.37997407035479;5.350963586008675;19;
1048;Øvre Korskirkeallmenning;Kong Oskars gate 18;60.395099485721786;5.328645087376344;22;
1047;Welhavens gate 64;Welhavens gate 64;60.38445114789948;5.324440726278226;19;
1046;Ole Vigs gate;Ole Vigs Gate 4;60.385922875207626;5.321431717819451;19;
1045;Fløttmannsplassen;Damsgårdsveien 62;60.37982631389452;5.324389909505271;22;
1044;Autogården;Johannes Bruns Gate 11;60.38459013238918;5.331198981947182;19;
1043;Comfort Hotel Bergen;Strandgaten 190;60.396224461626154;5.315384703788823;19;
908;Rådstuplassen;Rådstuplass 1;60.39288422289191;5.327415320340492;13;
819;Thormøhlens gate 30;Thormøhlensgate 30;60.38316244112318;5.324053067317891;13;
818;Vågsallmenningen;Vågsalmenningen 7;60.393689548634;5.3265806966930995;16;
817;Nedre Korskirkeallmenning;Nedre Korskirkeallmenning 8;60.394549852530844;5.327049981572372;25;
816;Østre Murallmenningen nedre;Strandgaten 53;60.395216384609185;5.319910906078576;13;
815;Gågaten;Strandgaten 60;60.395070112977045;5.31879835082907;10;
814;Nykirken;Strandgaten 197;60.396949224333255;5.313494727727743;16;
812;Hans Hauges gate;Jens Rolfens gate 6;60.40190553013225;5.324747767839426;13;
811;Amalie Skrams vei Nord;Amalie Skrams vei 25;60.410929182460585;5.324662770153282;13;
810;Amalie Skrams vei Sør;Amalie Skramsvei 1;60.408096993005785;5.325510899047174;25;
809;Skutevikstorget;Skutevikstorget 1;60.40222876911276;5.320744723528605;16;
807;Dreggsallmenningen Nord;Dreggsalmenningen 10;60.398656493732524;5.3221425864564935;16;
806;Dreggsallmenningen Sør;Bryggen 13;60.39770902893835;5.32200057798218;34;
804;Kode 2;Rasmus Meyers alle 1;60.390174061139966;5.324792207669702;19;
803;Kode 1;Olav Kyrresgate 22;60.3906427466302;5.324397430398562;16;
802;Håkonsgaten;Håkonsgaten 2;60.39118461048114;5.318026298282803;19;
801;Dragefjellsbakken;Sydnesgaten 19;60.39017050687001;5.315109424891148;10;
800;Magnus Lagabøtes Plass;Magnus Lagabøtes plass 1;60.38972226200196;5.314854189834826;10;
799;HF-Bygget;Sydnesplassen 7;60.387853713374845;5.318712852428234;19;
798;H.M. Pinnsvinet;Haakon Sheteligs plass 5;60.38808210546723;5.320712071347316;26;
797;John Lunds plass;John Lunds plass 1;60.38824732496974;5.324558211682643;19;
796;Strømgaten;Allegaten 17;60.38658238047282;5.326041074182427;10;
795;Fosswinckels gate;Fosswinckels gate 45;60.38658166593217;5.327978744635743;10;
794;St. Jakobs Plass;Hans Tanks gate 4;60.386620366718034;5.331124765335517;22;
793;Zander Kaas gate;Zander Kaas gate 8;60.390108717939874;5.3353874337574325;10;
792;Busstasjonen 2 Vest;Fjøsangerveien 4;60.388283833541436;5.332872680372475;10;
791;Busstasjonen 4 Sør;Lungegårdskaien 12;60.387058789354164;5.335633911730724;13;
790;Busstasjonen 3  Øst;Lugegårdskaien 12;60.38785633733042;5.334459219764085;13;
789;Busstasjonen 1 Nord;Østre Strømkaien;60.38890977889046;5.333817119783134;25;
